VTX, IDX, s_attribute_0.x, s_attribute_0.y, s_attribute_1.x, s_attribute_1.y, s_attribute_1.z, s_attribute_1.w, s_attribute_2.x, s_attribute_2.y, s_attribute_2.z, s_attribute_2.w, s_attribute_3.x, s_attribute_3.y, s_attribute_3.z, s_attribute_3.w
0, 39340, -4.86298, -7.99246, -0.47144, -1.95117,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99951,  0.00005,  0.0009, -1.00
1, 39352, -4.95504, -7.46637, -0.47144, -1.81445,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.46875, -0.99951,  0.00005,  0.0009, -1.00
2, 39386, -5.41143, -7.72941, -0.34668, -1.88281,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99951,  0.00005,  0.0009, -1.00
3, 39386, -5.41143, -7.72941, -0.34668, -1.88281,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99951,  0.00005,  0.0009, -1.00
4, 39352, -4.95504, -7.46637, -0.47144, -1.81445,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.46875, -0.99951,  0.00005,  0.0009, -1.00
5, 39396, -5.5035, -7.20333, -0.34668, -1.74609,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.45313, -0.99951,  0.00005,  0.0009, -1.00
6, 39352, -4.95504, -7.46637, -0.47144, -1.81445,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.46875, -0.99951,  0.00005,  0.0009, -1.00
7, 39357, -5.04711, -6.94029, -0.47144, -1.67773,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.4375, -0.99951,  0.00005,  0.0009, -1.00
8, 39396, -5.5035, -7.20333, -0.34668, -1.74609,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.45313, -0.99951,  0.00005,  0.0009, -1.00
9, 39386, -5.41143, -7.72941, -0.34668, -1.88281,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99951,  0.00005,  0.0009, -1.00
10, 39396, -5.5035, -7.20333, -0.34668, -1.74609,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.45313, -0.99951,  0.00005,  0.0009, -1.00
11, 39434, -5.95988, -7.46637, -0.22205, -1.81445,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.46875, -0.99951,  0.00005,  0.0009, -1.00
12, 39426, -5.86782, -7.99246, -0.22205, -1.95117,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99951,  0.00005,  0.0009, -1.00
13, 39386, -5.41143, -7.72941, -0.34668, -1.88281,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99951,  0.00005,  0.0009, -1.00
14, 39434, -5.95988, -7.46637, -0.22205, -1.81445,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.46875, -0.99951,  0.00005,  0.0009, -1.00
15, 39434, -5.95988, -7.46637, -0.22205, -1.81445,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.46875, -0.99951,  0.00005,  0.0009, -1.00
16, 39396, -5.5035, -7.20333, -0.34668, -1.74609,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.45313, -0.99951,  0.00005,  0.0009, -1.00
17, 39443, -6.05195, -6.94029, -0.22205, -1.67773,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.4375, -0.99951,  0.00005,  0.0009, -1.00
18, 39396, -5.5035, -7.20333, -0.34668, -1.74609,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.45313, -0.99951,  0.00005,  0.0009, -1.00
19, 39357, -5.04711, -6.94029, -0.47144, -1.67773,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.4375, -0.99951,  0.00005,  0.0009, -1.00
20, 39400, -5.54953, -6.94029, -0.34668, -1.67773,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.4375, -0.99951,  0.00005,  0.0009, -1.00
21, 39396, -5.5035, -7.20333, -0.34668, -1.74609,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.45313, -0.99951,  0.00005,  0.0009, -1.00
22, 39400, -5.54953, -6.94029, -0.34668, -1.67773,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.4375, -0.99951,  0.00005,  0.0009, -1.00
23, 39443, -6.05195, -6.94029, -0.22205, -1.67773,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.4375, -0.99951,  0.00005,  0.0009, -1.00
24, 39434, -5.95988, -7.46637, -0.22205, -1.81445,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.46875, -0.99951,  0.00005,  0.0009, -1.00
25, 39443, -6.05195, -6.94029, -0.22205, -1.67773,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.4375, -0.99951,  0.00005,  0.0009, -1.00
26, 39482, -6.50834, -7.20333, -0.09735, -1.74609,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.45313, -0.99951,  0.00005,  0.0009, -1.00
27, 39474, -6.41627, -7.72942, -0.09735, -1.88281,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.48438, -0.99951,  0.00005,  0.0009, -1.00
